	HEX_600	01_HEX_weighted_average_distance	01_HEX_weighted_mean_home_distance	01_HEX_weighted_max_home_distance	01_HEX_weighted_median_home_distance	01_HEX_weighted_radius_of_gyration	01_HEX_weighted_num_reporting_2015	01_HEX_weighted_HEX_coverage	01_HEX_weighted_subject_coverage	01_HEX_weighted_subject_hhi	01_HEX_total_reporting	01_HEX_total_user	user_type	reporting_level
0	8	2074.2733301211	1995.7984093508	5153.7309571418	1810.7429082696	758.4117628274	30	23.3333333333	2.6666666667	0.7584279791	36	18	1	1
1	9	166.6819314381	404.4524680004	514.6821331557	391.9728319735	23.7505939393	1.8235294118	1.068627451	1.1862745098	0.8771786492	10404	7752	1	1
2	10	287.6614099718	257.5782153472	571.1128273883	208.70038488	30.8916415974	2.3950617284	1.1604938272	1.2098765432	0.8952161194	6561	4536	1	1
3	11	98.4081486906	302.5290589772	359.9702597147	322.9320852387	50.8275490947	3.4	1.8	1.8	0.6222222222	25	15	1	1
4	13	501.2230229798	506.7334156946	1115.0133924015	536.6325594906	129.2546285809	6.7777777778	5.1666666667	1.6111111111	0.8247379965	324	252	1	1
5	14	1080.4303889016	3565.9566038207	4824.084077973	3501.2331229307	380.2637719339	8.08	5.52	1.84	0.701173489	625	500	1	1
6	15	172.2561678134	167.347142992	248.2453192656	167.347142992	5.384729988122672e-05	1.5	1.5	1.5	0.75	4	4	1	1
7	22	405.8347642212	321.2256658052	379.5904787261	321.2256658052	0.0044799734	1.25	1.25	1.25	0.875	16	16	1	1
8	23	380.364196591	302.7434342485	563.7223314148	272.9396543779	22.0804107626	2.13	1.11	1.21	0.8579055556	10000	6900	1	1
9	24	376.5936831723	682.9906032458	1025.0654986773	705.9180845029	55.0202704291	4.3265306122	1.9693877551	1.5816326531	0.8128304552	9604	6370	1	1
10	25	264.3894184737	894.4748757837	1075.919036863	850.1247207004	36.7339035476	2.9480519481	1.2532467532	1.4545454545	0.8377468993	23716	15400	1	1
11	26	74.7984829997	665.6963040696	709.9145331056	662.1271916356	35.6023938446	2.3636363636	1.4090909091	1.3181818182	0.8853598485	484	396	1	1
12	29	2068.2361504072	1282.3833590127	4090.6331041949	500.9277519836	796.4669593436	4	2	1.6666666667	0.7504166667	36	30	1	1
13	30	650.6974377159	1209.9258658216	1961.9701488668	1170.5076488355	159.676711826	4.0714285714	3	1.5	0.7011625364	196	168	1	1
14	31	163.6023592283	303.5754295796	416.7120937728	313.3723497063	39.9453633854	2.5429864253	1.2941176471	1.334841629	0.8572698103	48841	33150	1	1
15	32	137.9123003434	505.3492990427	588.8721042693	501.7449199067	14.2118147273	2.1626794258	1.1052631579	1.2440191388	0.8673086124	43681	31559	1	1
16	33	542.8121961299	2259.0343722817	2736.2536373844	2379.2146396798	296.2910968656	3.53125	2.28125	1.25	0.9229999291	1024	672	1	1
17	34	5823.3707432881	4479.5243769951	14325.1707411621	2716.4430618088	2435.6068952402	46.5	35.5	4.5	0.2804991115	4	4	1	1
18	36	153.2936974191	138.8765630488	266.7793181169	125.6520553715	25.3409721597	6.9285714286	1.2954545455	1.5876623377	0.8682339443	94864	56980	1	1
19	37	199.0170909807	260.2915664027	429.2271662641	234.9376367217	24.6054933427	2.513618677	1.1673151751	1.2645914397	0.8751555198	66049	48316	1	1
20	38	220.606427349	251.047094499	507.5455458754	233.4937793646	89.7417759823	6.4342105263	1.6447368421	1.6052631579	0.819956862	5776	3724	1	1
21	39	249.3892367784	207.2540436672	380.492534447	166.341231168	20.7117788339	2.0581395349	1.1395348837	1.2558139535	0.8484657623	7396	5332	1	1
22	40	553.7710358842	396.7164371748	757.6287264211	350.1406011858	33.9530267636	2.1111111111	1.2777777778	1.4166666667	0.8097222222	1296	972	1	1
23	42	5.4687654812	37.9228297335	39.2070306677	37.9228297335	1.6286506714369155e-06	1.5625	1	1.1875	0.8697916667	256	208	1	1
24	46	498.9420763362	613.4442241452	1044.3948534097	524.2507803997	109.4152273055	3.7878787879	1.9333333333	1.3818181818	0.8330484762	27225	18315	1	1
25	47	300.4265920829	384.9340238693	656.4966206015	322.7571837642	43.8191762777	3.2598039216	1.3210784314	1.3700980392	0.8429816998	166464	105264	1	1
26	48	359.8362963054	1303.2512347602	1717.6753024644	1256.034930328	158.0266959682	3.085106383	1.7021276596	1.1914893617	0.9238498261	2209	1692	1	1
27	49	638.684715123	564.5693606669	865.8264656188	564.5693606669	0.0001360362	1.5714285714	1.2857142857	1.5714285714	0.7142857143	49	42	1	1
28	50	385.0305532385	291.8461057051	559.6729031997	308.0522739016	45.8112062979	6.6911764706	1.4852941176	1.8970588235	0.7858832028	4624	2924	1	1
29	51	229.9154446025	319.9702166057	568.0142007142	293.1999122471	49.3704191235	11.4801980198	1.6485148515	1.7054455446	0.8526444344	163216	89284	1	1
30	52	270.8107615283	469.2143271472	723.5976154972	425.8457035284	18.0102081901	5.8923076923	1.3846153846	1.3846153846	0.8894499347	4225	3120	1	1
31	58	0	91.6433611167	91.6433611167	91.6433611167	0	1	1	1	1	1	1	1	1
