Index	HEX_600	03_HEX_weighted_average_distance	03_HEX_weighted_mean_home_distance	03_HEX_weighted_max_home_distance	03_HEX_weighted_median_home_distance	03_HEX_weighted_radius_of_gyration	03_HEX_weighted_num_reporting_2015	03_HEX_weighted_HEX_coverage	03_HEX_weighted_subject_coverage	03_HEX_weighted_subject_hhi	03_HEX_total_reporting	03_HEX_total_user	user_type	reporting_level
0	0	5584.1556592091	4132.5100901609	11578.0097821607	3769.0850514539	2227.6589905273	997	273	8	0.2846895752	4	2	3	1
1	8	3711.7603421504	3061.6293288674	8312.2931817432	2781.363283455	1454.9649478993	381	114.0909090909	4.9090909091	0.5407550347	121	55	3	1
2	9	362.6829829619	633.9511449976	910.5809585077	617.8600719946	90.6124777938	12.214953271	4.3457943925	1.2803738318	0.8693055616	11449	8667	3	1
3	10	374.3374624032	325.9445886174	749.3306984406	270.4541290837	66.6652686498	5.1686746988	2.8192771084	1.3012048193	0.8843815805	6889	4814	3	1
4	11	98.4081486906	302.5290589772	359.9702597147	322.9320852387	50.8275490947	3.4	1.8	1.8	0.6222222222	25	15	3	1
5	13	501.2230229798	506.7334156946	1115.0133924015	536.6325594906	129.2546285809	6.7777777778	5.1666666667	1.6111111111	0.8247379965	324	252	3	1
6	14	2066.6285714003	3723.5420768482	6262.6733815488	3589.2919964384	773.2031375049	119.1875	42.34375	2.78125	0.6395343358	1024	768	3	1
7	15	172.2561678134	167.347142992	248.2453192656	167.347142992	5.384729988122672e-05	1.5	1.5	1.5	0.75	4	4	3	1
8	22	1441.4989432188	1083.4825506764	2619.274339413	1010.797542935	445.5353820842	200.4	55.6	2.6	0.756937915	25	25	3	1
9	23	457.3860572898	368.5285604435	737.956239191	332.8966246237	50.4317533472	4.8823529412	2.6470588235	1.3039215686	0.8471766675	10404	7242	3	1
10	24	633.3753717003	857.8862743429	1554.1106332306	861.8210162324	159.5694194682	45.4757281553	13.9417475728	1.8834951456	0.787762145	10609	6901	3	1
11	25	509.4162866739	1053.5834531912	1566.7793655482	990.6509481713	132.3597500428	26.5527950311	9.4906832298	1.701863354	0.8158690822	25921	16583	3	1
12	26	74.7984829997	665.6963040696	709.9145331056	662.1271916356	35.6023938446	2.3636363636	1.4090909091	1.3181818182	0.8853598485	484	396	3	1
13	29	2892.6136557932	1949.9965868196	5807.7189158962	1270.9218766283	1154.3106313812	155.375	52.125	2.875	0.6750310725	64	56	3	1
14	30	1310.8032784869	1619.5276777736	3228.3508160933	1517.4443879369	425.9416271572	74.8125	26.375	2.1875	0.6563451606	256	224	3	1
15	31	285.5878074095	395.2951086498	635.189150221	400.636616531	83.3434986057	8.8761061947	3.7168141593	1.4380530973	0.8448911999	51076	35030	3	1
