Index	HEX_600	04_HEX_weighted_average_distance	04_HEX_weighted_mean_home_distance	04_HEX_weighted_max_home_distance	04_HEX_weighted_median_home_distance	04_HEX_weighted_radius_of_gyration	04_HEX_weighted_num_reporting_2015	04_HEX_weighted_HEX_coverage	04_HEX_weighted_subject_coverage	04_HEX_weighted_subject_hhi	04_HEX_total_reporting	04_HEX_total_user	user_type	reporting_level
0	8	6222.8199903632	5947.1896143549	15420.9872577279	5392.0231111114	2275.2352884823	86	68	6	0.2752839373	4	2	1	2
1	9	473.1536904238	366.8727716082	758.4270116027	299.8768308325	127.4862137352	3.6842105263	1.2631578947	1.5263157895	0.6959064327	361	133	1	2
2	10	433.3882261215	468.8145683349	1195.4327857269	322.1810769333	92.6422977254	4.5555555556	1.4444444444	1.6296296296	0.6856483581	729	270	1	2
3	11	246.0203717265	373.5008553155	517.1038571592	424.5084209692	127.0688727368	6	3	2	0.5555555556	4	2	1	2
4	13	1503.6690689393	1455.8282404244	3280.6681705451	1545.5256718123	387.7638857427	17.8333333333	13.5	2.8333333333	0.5992139895	36	18	1	2
5	14	1666.6404616821	4565.4718761047	6521.1837824334	4464.3414372141	594.1621369158	12	8	2.25	0.5643335766	256	176	1	2
6	23	269.6391895199	183.6996003471	528.8320835117	96.0414242571	64.8757049791	3.6176470588	1.2352941176	1.3823529412	0.7217810458	1156	442	1	2
7	24	706.1416812771	738.8208564319	1515.2069535505	801.2345554095	149.7565337658	9.3055555556	3.5277777778	2.3333333333	0.6363162392	1296	504	1	2
8	25	376.7358727933	2006.9808329733	2392.2036200064	1867.5946312828	115.4273079676	6.2244897959	1.693877551	2.2857142857	0.6074086222	2401	637	1	2
9	26	325.6281833183	2706.9922195568	2899.9555721387	2691.2881248472	156.650532721	6.2	2.8	2.4	0.4955833333	25	15	1	2
10	29	4136.4723008144	2504.5935469838	8121.0930373482	941.6823329255	1592.9339186872	7	3	2.3333333333	0.5008333333	9	6	1	2
11	30	1012.6736592209	2349.948165558	3911.7610568113	2257.9723259238	372.5764506787	7.6666666667	5.5	2	0.3860459184	36	30	1	2
12	31	388.5115199426	409.0805147711	704.139811536	437.9487727445	117.7054550338	4.84	1.8	1.8	0.6927550412	5625	2025	1	2
13	32	113.531858816	381.9572312077	490.8994692455	369.607801053	48.688018536	4.3278688525	1.2950819672	1.6229508197	0.6765163934	3721	1220	1	2
14	33	1063.3749319146	2208.3991861025	3156.1985332002	2448.7597208986	592.5821718557	5.8125	3.5625	1.5	0.8459998583	256	112	1	2
15	34	5823.3707432881	4479.5243769951	14325.1707411621	2716.4430618088	2435.6068952402	46.5	35.5	4.5	0.2804991115	4	4	1	2
16	36	181.7575877047	145.0497280178	369.3560343048	110.8215905	65.5845119304	15.781512605	1.6974789916	2.3445378151	0.7534962592	14161	2975	1	2
17	37	600.7642602341	573.6578812578	1145.7004348546	474.9312156816	95.8040507543	6	1.5606060606	1.803030303	0.6615904331	4356	1452	1	2
18	38	493.1202493683	523.0575233421	1096.4070028894	483.8207012769	200.5992639604	12.9117647059	2.4411764706	2.3529411765	0.5975506327	1156	374	1	2
19	39	576.1470559204	462.9566662279	966.4047207663	287.0315724815	89.0345608127	4.15	1.45	1.65	0.6109027778	400	160	1	2
20	40	460.7143683403	256.6157633299	869.0204915653	47.0245013795	152.6692114893	4.25	1.875	2.25	0.55	64	32	1	2
21	42	0	11.575169622	11.575169622	11.575169622	0	3	1	2	0.5555555556	9	3	1	2
22	46	847.7932803962	791.6245140562	1752.3124446775	565.2103876254	277.7421556725	7.4923076923	3.2769230769	1.8	0.6838922856	4225	1690	1	2
23	47	559.2965000875	396.6516114843	960.7831574586	251.6907499821	102.1607955909	5.8228571429	1.7257142857	1.7885714286	0.6882087629	30625	10500	1	2
24	48	1028.247472355	1816.4541764401	3095.6265569336	1668.5097558859	495.1498287856	6.8666666667	3.0666666667	1.3333333333	0.8947294552	225	120	1	2
25	50	342.5486771121	320.1210643693	657.5373258675	355.6700784778	100.4694263798	13.1935483871	1.9677419355	2.8709677419	0.5787115416	961	279	1	2
26	51	304.0772530707	242.6631923304	671.8671336459	187.7636849149	101.2426016243	22.1319796954	2.2893401015	2.345177665	0.7523774187	38809	8865	1	2
27	52	287.5019623584	170.8590709245	669.0635959805	42.7245011417	53.1936944945	14.8636363636	2	2	0.7415566252	484	220	1	2
28	61	852.0864038539	1236.7186727342	2010.5856416223	1314.769946043	254.6091218843	5.8235294118	1.9411764706	1.8235294118	0.5393415805	289	170	1	2
29	62	1189.2140209799	962.7538349331	2759.933641861	766.3737333785	383.7865737487	12.2380952381	6.6666666667	2.5714285714	0.455038065	441	231	1	2
30	64	507.4058024451	286.7664158506	793.9030173026	33.1981151245	0.0044901019	3.5	1.125	1.5	0.7777777778	64	24	1	2
31	65	402.2321561908	556.3697053719	1814.2924861512	460.1854061923	238.1672171506	40.6351351351	4.6351351351	3.4121621622	0.45718881	21904	4736	1	2
32	66	245.4675883718	416.3520739268	1037.4063608747	332.0033427168	99.0922556084	15.8970588235	2.2058823529	2.5	0.5838144061	4624	1564	1	2
33	73	711.2095718416	775.467348383	1840.6552085282	707.9357826997	254.0978004309	12.6666666667	8.5555555556	1.7777777778	0.845401919	81	36	1	2
34	74	526.1117554268	809.2044667109	1205.3083896205	891.4646190655	237.0083592263	7.625	2.125	2	0.73359375	64	16	1	2
35	77	2602.5086940845	3116.3826042567	9729.9840199614	2387.4355275578	1095.2534273376	38	18	3	0.5609418283	25	5	1	2
36	78	265.9610477336	396.9845839155	947.0120419252	327.6303327369	98.5089499567	9.1785714286	2.4285714286	1.6071428571	0.717228988	784	252	1	2
37	79	1052.8494130731	1034.9638714001	2030.3871205895	1223.0241897689	272.1050687796	7.7076923077	2.8153846154	2.2	0.5845184002	4225	1495	1	2
38	80	627.1011133864	552.2820582507	1203.4944915778	445.242785601	162.2125315595	7.6780487805	2.443902439	2.1902439024	0.5551925243	42025	13530	1	2
39	82	2093.7749929128	1797.7239603829	4008.8601077525	1568.6399022398	685.4016828333	13.6363636364	10.3636363636	2.6363636364	0.5329438821	121	110	1	2
40	83	462.4864455698	356.1801830812	937.4723739303	268.236141092	135.5292802662	24.8636363636	3.0795454545	3.4886363636	0.4836393262	7744	1848	1	2
41	84	429.8038900655	324.7422219933	910.1899435408	202.8455381557	161.5716966318	19.8857142857	3.2857142857	2.8285714286	0.6300668544	1225	420	1	2
42	92	30.9337219627	51.1874894021	66.3442634905	51.1874894021	3.519862321287417e-05	4.2727272727	1	1	0.898989899	121	33	1	2
43	93	1581.2245281514	7155.5198791111	8798.3839443355	7557.0839874067	455.6124772304	18	13	4	0.2561728395	1	1	1	2
44	94	66.9400416462	82.5596979124	122.383162649	70.7178581249	0.0003491701	3.5882352941	1.1764705882	1.7058823529	0.722875817	289	102	1	2
45	95	1718.9404587995	1476.1924496109	3570.5751285224	1293.5106630728	729.1493039007	19.6666666667	9.4444444444	3.6666666667	0.400160674	81	45	1	2
46	96	526.5206550185	292.8363077182	855.7940161629	40.5179316667	5.837583123	3.5652173913	1.2608695652	1.6956521739	0.5592995169	529	230	1	2
47	97	557.3341818643	535.1051927854	1287.6848357675	534.5576836105	185.9638249531	7.4534883721	2.7558139535	1.9534883721	0.7090700083	7396	2666	1	2
48	98	869.5870803235	595.7943510988	3374.0697114178	370.9764207765	773.2867253463	13.0487804878	4.3658536585	2.8536585366	0.5977068838	1681	533	1	2
49	101	501.1150111764	384.7467700819	1384.2721914011	233.3319076091	222.9994103252	10.0419354839	1.7774193548	1.9419354839	0.7006345473	96100	25730	1	2
50	102	1068.4687535843	1290.9511530371	2834.220739981	1171.8921847404	386.8649339109	8.0129032258	2.9096774194	2.0387096774	0.6762516185	24025	7285	1	2
