	HEX_600	01_HEX_weighted_average_distance	01_HEX_weighted_mean_home_distance	01_HEX_weighted_max_home_distance	01_HEX_weighted_median_home_distance	01_HEX_weighted_radius_of_gyration	01_HEX_weighted_num_reporting_2015	01_HEX_weighted_HEX_coverage	01_HEX_weighted_subject_coverage	01_HEX_weighted_subject_hhi	01_HEX_total_reporting	01_HEX_total_user	02_HEX_weighted_average_distance	02_HEX_weighted_mean_home_distance	02_HEX_weighted_max_home_distance	02_HEX_weighted_median_home_distance	02_HEX_weighted_radius_of_gyration	02_HEX_weighted_num_reporting_2015	02_HEX_weighted_HEX_coverage	02_HEX_weighted_subject_coverage	02_HEX_weighted_subject_hhi	02_HEX_total_reporting	02_HEX_total_user	03_HEX_weighted_average_distance	03_HEX_weighted_mean_home_distance	03_HEX_weighted_max_home_distance	03_HEX_weighted_median_home_distance	03_HEX_weighted_radius_of_gyration	03_HEX_weighted_num_reporting_2015	03_HEX_weighted_HEX_coverage	03_HEX_weighted_subject_coverage	03_HEX_weighted_subject_hhi	03_HEX_total_reporting	03_HEX_total_user	04_HEX_weighted_average_distance	04_HEX_weighted_mean_home_distance	04_HEX_weighted_max_home_distance	04_HEX_weighted_median_home_distance	04_HEX_weighted_radius_of_gyration	04_HEX_weighted_num_reporting_2015	04_HEX_weighted_HEX_coverage	04_HEX_weighted_subject_coverage	04_HEX_weighted_subject_hhi	04_HEX_total_reporting	04_HEX_total_user	05_HEX_weighted_average_distance	05_HEX_weighted_mean_home_distance	05_HEX_weighted_max_home_distance	05_HEX_weighted_median_home_distance	05_HEX_weighted_radius_of_gyration	05_HEX_weighted_num_reporting_2015	05_HEX_weighted_HEX_coverage	05_HEX_weighted_subject_coverage	05_HEX_weighted_subject_hhi	05_HEX_total_reporting	05_HEX_total_user	06_HEX_weighted_average_distance	06_HEX_weighted_mean_home_distance	06_HEX_weighted_max_home_distance	06_HEX_weighted_median_home_distance	06_HEX_weighted_radius_of_gyration	06_HEX_weighted_num_reporting_2015	06_HEX_weighted_HEX_coverage	06_HEX_weighted_subject_coverage	06_HEX_weighted_subject_hhi	06_HEX_total_reporting	06_HEX_total_user
0	8	2074.2733301211	1995.7984093508	5153.7309571418	1810.7429082696	758.4117628274	30	23.3333333333	2.6666666667	0.7584279791	36	18	2641.820160974	2449.6974652711	6446.1694100761	2216.9508445985	1013.425494969	29	23.2857142857	3.1428571429	0.6870781544	49	28	5584.1556592091	4132.5100901609	11578.0097821607	3769.0850514539	2227.6589905273	997	273	8	0.2846895752	4	2	6222.8199903632	5947.1896143549	15420.9872577279	5392.0231111114	2275.2352884823	86	68	6	0.2752839373	4	2	6164.2470422726	5689.1570098342	15014.2582143793	5146.0815615982	2364.6594882609	65	53	6	0.2698490269	9	6	5584.1556592091	4132.5100901609	11578.0097821607	3769.0850514539	2227.6589905273	997	273	8	0.2846895752	4	2
1	9	166.6819314381	404.4524680004	514.6821331557	391.9728319735	23.7505939393	1.8235294118	1.068627451	1.1862745098	0.8771786492	10404	7752	166.6819314381	404.4524680004	514.6821331557	391.9728319735	23.7505939393	1.8235294118	1.068627451	1.1862745098	0.8771786492	10404	7752	3711.7603421504	3061.6293288674	8312.2931817432	2781.363283455	1454.9649478993	381	114.0909090909	4.9090909091	0.5407550347	121	55	473.1536904238	366.8727716082	758.4270116027	299.8768308325	127.4862137352	3.6842105263	1.2631578947	1.5263157895	0.6959064327	361	133	473.1536904238	366.8727716082	758.4270116027	299.8768308325	127.4862137352	3.6842105263	1.2631578947	1.5263157895	0.6959064327	361	133	5832.7662519506	4799.6444843066	13050.6876816829	4359.2264129443	2286.373489556	597.5714285714	178.7142857143	7.1428571429	0.2783293402	49	21
2	10	287.6614099718	257.5782153472	571.1128273883	208.70038488	30.8916415974	2.3950617284	1.1604938272	1.2098765432	0.8952161194	6561	4536	287.6614099718	257.5782153472	571.1128273883	208.70038488	30.8916415974	2.3950617284	1.1604938272	1.2098765432	0.8952161194	6561	4536	362.6829829619	633.9511449976	910.5809585077	617.8600719946	90.6124777938	12.214953271	4.3457943925	1.2803738318	0.8693055616	11449	8667	433.3882261215	468.8145683349	1195.4327857269	322.1810769333	92.6422977254	4.5555555556	1.4444444444	1.6296296296	0.6856483581	729	270	433.3882261215	468.8145683349	1195.4327857269	322.1810769333	92.6422977254	4.5555555556	1.4444444444	1.6296296296	0.6856483581	729	270	1338.9322734038	1127.1967952407	2248.7400456594	1052.3383251834	421.5309827437	51.7391304348	16.4782608696	1.9130434783	0.6854650039	529	253
3	11	98.4081486906	302.5290589772	359.9702597147	322.9320852387	50.8275490947	3.4	1.8	1.8	0.6222222222	25	15	98.4081486906	302.5290589772	359.9702597147	322.9320852387	50.8275490947	3.4	1.8	1.8	0.6222222222	25	15	374.3374624032	325.9445886174	749.3306984406	270.4541290837	66.6652686498	5.1686746988	2.8192771084	1.3012048193	0.8843815805	6889	4814	246.0203717265	373.5008553155	517.1038571592	424.5084209692	127.0688727368	6	3	2	0.5555555556	4	2	246.0203717265	373.5008553155	517.1038571592	424.5084209692	127.0688727368	6	3	2	0.5555555556	4	2	671.4109405873	649.9158192124	1662.4480747151	491.0982970988	190.7702195564	12.3448275862	6.1724137931	1.8620689655	0.6690921098	841	348
4	13	501.2230229798	506.7334156946	1115.0133924015	536.6325594906	129.2546285809	6.7777777778	5.1666666667	1.6111111111	0.8247379965	324	252	501.2230229798	506.7334156946	1115.0133924015	536.6325594906	129.2546285809	6.7777777778	5.1666666667	1.6111111111	0.8247379965	324	252	98.4081486906	302.5290589772	359.9702597147	322.9320852387	50.8275490947	3.4	1.8	1.8	0.6222222222	25	15	1503.6690689393	1455.8282404244	3280.6681705451	1545.5256718123	387.7638857427	17.8333333333	13.5	2.8333333333	0.5992139895	36	18	1503.6690689393	1455.8282404244	3280.6681705451	1545.5256718123	387.7638857427	17.8333333333	13.5	2.8333333333	0.5992139895	36	18	246.0203717265	373.5008553155	517.1038571592	424.5084209692	127.0688727368	6	3	2	0.5555555556	4	2
5	14	1080.4303889016	3565.9566038207	4824.084077973	3501.2331229307	380.2637719339	8.08	5.52	1.84	0.701173489	625	500	1080.4303889016	3565.9566038207	4824.084077973	3501.2331229307	380.2637719339	8.08	5.52	1.84	0.701173489	625	500	501.2230229798	506.7334156946	1115.0133924015	536.6325594906	129.2546285809	6.7777777778	5.1666666667	1.6111111111	0.8247379965	324	252	1666.6404616821	4565.4718761047	6521.1837824334	4464.3414372141	594.1621369158	12	8	2.25	0.5643335766	256	176	1666.6404616821	4565.4718761047	6521.1837824334	4464.3414372141	594.1621369158	12	8	2.25	0.5643335766	256	176	1503.6690689393	1455.8282404244	3280.6681705451	1545.5256718123	387.7638857427	17.8333333333	13.5	2.8333333333	0.5992139895	36	18
6	15	172.2561678134	167.347142992	248.2453192656	167.347142992	5.384729988122672e-05	1.5	1.5	1.5	0.75	4	4	172.2561678134	167.347142992	248.2453192656	167.347142992	5.384729988122672e-05	1.5	1.5	1.5	0.75	4	4	2066.6285714003	3723.5420768482	6262.6733815488	3589.2919964384	773.2031375049	119.1875	42.34375	2.78125	0.6395343358	1024	768	269.6391895199	183.6996003471	528.8320835117	96.0414242571	64.8757049791	3.6176470588	1.2352941176	1.3823529412	0.7217810458	1156	442	269.6391895199	183.6996003471	528.8320835117	96.0414242571	64.8757049791	3.6176470588	1.2352941176	1.3823529412	0.7217810458	1156	442	2860.3305195297	4480.5209296218	8006.1907295292	4293.7382090516	1075.760882281	165.3913043478	58.4782608696	3.4347826087	0.5202216846	529	345
7	22	405.8347642212	321.2256658052	379.5904787261	321.2256658052	0.0044799734	1.25	1.25	1.25	0.875	16	16	405.8347642212	321.2256658052	379.5904787261	321.2256658052	0.0044799734	1.25	1.25	1.25	0.875	16	16	172.2561678134	167.347142992	248.2453192656	167.347142992	5.384729988122672e-05	1.5	1.5	1.5	0.75	4	4	706.1416812771	738.8208564319	1515.2069535505	801.2345554095	149.7565337658	9.3055555556	3.5277777778	2.3333333333	0.6363162392	1296	504	706.1416812771	738.8208564319	1515.2069535505	801.2345554095	149.7565337658	9.3055555556	3.5277777778	2.3333333333	0.6363162392	1296	504	5584.1556592091	4132.5100901609	11578.0097821607	3769.0850514539	2227.6589905273	997	273	8	0.2846895752	1	1
8	23	380.364196591	302.7434342485	563.7223314148	272.9396543779	22.0804107626	2.13	1.11	1.21	0.8579055556	10000	6900	380.364196591	302.7434342485	563.7223314148	272.9396543779	22.0804107626	2.13	1.11	1.21	0.8579055556	10000	6900	1441.4989432188	1083.4825506764	2619.274339413	1010.797542935	445.5353820842	200.4	55.6	2.6	0.756937915	25	25	376.7358727933	2006.9808329733	2392.2036200064	1867.5946312828	115.4273079676	6.2244897959	1.693877551	2.2857142857	0.6074086222	2401	637	376.7358727933	2006.9808329733	2392.2036200064	1867.5946312828	115.4273079676	6.2244897959	1.693877551	2.2857142857	0.6074086222	2401	637	494.0191841149	376.7043375608	1024.4331693169	275.7471860715	142.8269926234	11.3333333333	5.5833333333	1.6388888889	0.6989450024	1296	540
9	24	376.5936831723	682.9906032458	1025.0654986773	705.9180845029	55.0202704291	4.3265306122	1.9693877551	1.5816326531	0.8128304552	9604	6370	376.5936831723	682.9906032458	1025.0654986773	705.9180845029	55.0202704291	4.3265306122	1.9693877551	1.5816326531	0.8128304552	9604	6370	457.3860572898	368.5285604435	737.956239191	332.8966246237	50.4317533472	4.8823529412	2.6470588235	1.3039215686	0.8471766675	10404	7242	325.6281833183	2706.9922195568	2899.9555721387	2691.2881248472	156.650532721	6.2	2.8	2.4	0.4955833333	25	15	325.6281833183	2706.9922195568	2899.9555721387	2691.2881248472	156.650532721	6.2	2.8	2.4	0.4955833333	25	15	1311.0386063467	1171.3843407507	2784.4982117121	1181.2691801315	400.85119314	112.0731707317	33.4146341463	3	0.5948658765	1681	656
