	HEX_600	HEX_weighted_average_distance	HEX_weighted_mean_home_distance	HEX_weighted_max_home_distance	HEX_weighted_median_home_distance	HEX_weighted_radius_of_gyration	HEX_weighted_num_reporting_2015	HEX_weighted_HEX_coverage	HEX_weighted_subject_coverage	HEX_weighted_subject_hhi	HEX_total_reporting	HEX_total_user	HEX_normalized_total_311_per_100	HEX_num_311_including_government_users	HEX_total_population	HEX_income_below_poverty	HEX_below_poverty_unemployed	HEX_above_poverty_unemployed	HEX_total_housing_units	HEX_Owner_occupied_housing_units	HEX_Renter_occupied_housing_units	HEX_less_than_bacholar	HEX_estimate_total_for_degree	HEX_White_population	HEX_Black_or_African_American_population	HEX_American_Indian_and_Alaska_Native_population	HEX_Asian_population	HEX_Native_Hawaiian_and_Other_Pacific_Islander_population	HEX_Some_other_race_population	HEX_Mean_travel_time_to_work_minutes	HEX_Foreign_born_population	HEX_Citizen_population	HEX_obrien.IndividualNeeds	HEX_obrien.PublicNeeds	HEX_minkoff.CausedByHumanBehavior	HEX_minkoff.CausedByUsage	HEX_wheeler.Detritus	HEX_wheeler.Infrastructure	HEX_600_coverage_in_HEX	HEX_income_below_poverty_percentage	HEX_renter_occupied_housing_units_percentage	HEX_below_poverty_unemployed_percentage	HEX_above_poverty_unemployed_percentage	HEX_less_than_bacholar_percentage	poverty_index	HEX_Foreign_born_population_percentage	HEX_Citizen_population_percentage	HEX_White_population_percentage	HEX_Black_or_African_American_population_percentage	HEX_American_Indian_and_Alaska_Native_population_percentage	HEX_Some_other_race_population_percentage	user_type	frequency
	8	3711.7603421504	3061.6293288674	8312.2931817432	2781.363283455	1454.9649478993	381	114.0909090909	4.9090909091	0.4592449653	121	55	13.15371685	127	965.5065674	136.0727035	20.60622482	40.05032978	372.1418499	124.1442377	247.9976122	545.4316055	687.1038611	817.2750908	154.7789049	27.39179524	30.92482312	1.289025659	85.28849541	30.6327408794	296.579821	783.0404198	12	96	0	67	5	60	21.87804878	0.0665444109	0.380751497	0.3950883066	0.8295454634	1.2534403157	0.6285993481	0.3071753533	0.811015115	0.8464728448	0.1603084952	0.0283703873	0.0883354897	all	all
	9	362.6829829619	633.9511449976	910.5809585077	617.8600719946	90.6124777938	12.214953271	4.3457943925	1.2803738318	0.1306944384	11449	8667	54.32989269	477	877.9697076	153.5054571	12.09025282	25.26726994	324.3991431	125.5212765	198.8778666	475.4593805	650.7001237	747.2863007	151.7394652	0	65.61339452	0	35.45568523	34.2	390.6917653	560.3628414	95	297	9	211	45	141	4.825581395	0.5003416834	0.1214328384	-0.2510196135	-0.0473647409	1.0939349487	0.3804523609	0.4449945846	0.6382484914	0.8511527154	0.1728299552	0	0.0403837227	all	all
	10	374.3374624032	325.9445886174	749.3306984406	270.4541290837	66.6652686498	5.1686746988	2.8192771084	1.3012048193	0.1156184195	6889	4814	61.47898955	373	606.7113378	106.0782627	8.354836619	17.46066979	224.1724702	86.74010153	137.4323687	328.5609906	449.6591843	516.4040027	104.8578933	0	45.34141671	0	24.50126244	34.2	269.9832597	387.2325961	64	270	4	164	47	117	3.123287671	0.5003416846	0.1214328396	-0.2510196134	-0.0473647406	1.0939349492	0.3804523623	0.4449945845	0.6382484915	0.8511527155	0.1728299551	0	0.0403837227	all	all
	11	98.4081486906	302.5290589772	359.9702597147	322.9320852387	50.8275490947	3.4	1.8	1.8	0.3777777778	25	15	17.0761751	36	210.8200448	36.86007283	2.903138479	6.067233226	77.89544594	30.14044893	47.75499701	114.1683672	156.2475653	179.4400536	36.43601889	0	15.75523467	0	8.513698237	34.2	93.81377827	134.5555756	3	32	3	29	2	13	17.13333333	0.5003416849	0.1214328389	-0.2510196133	-0.0473647407	1.0939349513	0.3804523625	0.4449945846	0.6382484916	0.8511527154	0.1728299552	0	0.0403837227	all	all
	13	501.2230229798	506.7334156946	1115.0133924015	536.6325594906	129.2546285809	6.7777777778	5.1666666667	1.6111111111	0.1752620035	324	252	118.6135733	153	128.9902966	6.602219218	1.886348348	2.515131131	59.91401658	33.19074832	26.72326826	28.65452967	103.8389853	117.2230759	7.994523951	0	5.838697268	0	0.538956671	28.2	10.77913342	126.2506002	35	105	3	65	19	53	12.48148148	-1.0816819004	-0.6906312981	-0.1782092398	-0.6880733699	-1.0857204785	-1.288766152	0.0835654596	0.9787604458	0.9087743729	0.0619777159	0	0.004178273	all	all
	14	2066.6285714003	3723.5420768482	6262.6733815487	3589.2919964384	773.2031375049	119.1875	42.34375	2.78125	0.3604656642	1024	768	101.6243277	396	389.6704747	19.94483279	5.698523655	7.59803154	180.9959656	100.2668805	80.72908511	86.5632879	313.6901593	354.1225414	24.15088597	0	17.6382875	0	1.628149616	28.2	32.56299231	381.3940475	15	305	7	187	62	148	17.64646465	-1.0816819003	-0.6906312976	-0.1782092395	-0.6880733696	-1.0857204782	-1.2887661515	0.0835654596	0.9787604457	0.9087743732	0.0619777159	0	0.004178273	all	all
	22	1441.4989432188	1083.4825506764	2619.274339413	1010.797542935	445.5353820842	200.4	55.6	2.6	0.243062085	25	25	7.804646926	40	512.5151769	63.86373289	9.284069261	23.67551417	172.2417221	55.4855094	116.7562127	301.093062	354.7083065	460.1553475	140.9532796	9.868478774	20.36356666	2.071917962	34.79556129	33.1771320859	247.4170487	325.6728809	6	31	1	24	4	22	19.22222222	-0.142317645	0.4364473437	0.1196644575	1.1549603051	1.4074203245	0.4064428369	0.4827506772	0.6354404622	0.8978375046	0.2750226451	0.0192549981	0.0678917676	all	all
	23	457.3860572898	368.5285604435	737.956239191	332.8966246237	50.4317533472	4.8823529412	2.6470588235	1.3039215686	0.1528233325	10404	7242	46.15457781	469	1016.150558	132.2693778	24.13022434	46.24959664	396.8081335	126.0133938	270.7947398	581.5830921	713.6290419	858.6338159	158.8573102	37.98276053	18.76795226	1.787424025	105.2345895	29.5	267.6667477	879.8594762	82	322	9	229	52	115	5.608108108	-0.0712027758	0.4586640333	0.6002522237	1.1079979123	1.3040893566	0.7048513043	0.263412489	0.86587511	0.8449868075	0.1563324538	0.0373790677	0.1035620053	all	all
	24	633.3753717003	857.8862743429	1554.1106332306	861.8210162324	159.5694194682	45.4757281553	13.9417475728	1.8834951456	0.212237855	10609	6901	53.32927525	554	1038.829044	155.2364913	20.19928127	39.78399154	396.2495927	137.3189888	258.9306039	580.7658702	746.9638551	880.5593066	169.7939562	22.08377291	44.39414021	1.039236372	79.27788473	31.5270023181	354.9935293	797.514214	58	383	9	223	59	177	5.680851064	0.1752912543	0.3177807224	0.2331181825	0.6097164694	1.2134545737	0.5675618504	0.3417246864	0.7677049642	0.8476460219	0.163447448	0.0212583322	0.0763146595	all	all
	25	509.4162866739	1053.5834531912	1566.7793655482	990.6509481713	132.3597500428	26.5527950311	9.4906832298	1.701863354	0.1841309178	25921	16583	93.88399178	936	996.9750778	174.3125233	13.72903944	28.69214985	368.3701819	142.535196	225.8349859	539.9060455	738.899988	848.5780447	172.307158	0	74.50703428	0	40.26156511	34.2	443.6485105	636.3178394	133	688	14	465	93	302	7.40070922	0.5003416846	0.121432839	-0.2510196138	-0.0473647409	1.093934949	0.3804523617	0.4449945845	0.6382484914	0.8511527154	0.1728299552	0	0.0403837227	all	all
