	HEX_600	HEX_weighted_average_distance	HEX_weighted_mean_home_distance	HEX_weighted_max_home_distance	HEX_weighted_median_home_distance	HEX_weighted_radius_of_gyration	HEX_weighted_num_reporting_2015	HEX_weighted_HEX_coverage	HEX_weighted_subject_coverage	HEX_weighted_subject_hhi	HEX_total_reporting	HEX_total_user	HEX_normalized_total_311_per_100	HEX_num_311_including_government_users	HEX_total_population	HEX_income_below_poverty	HEX_below_poverty_unemployed	HEX_above_poverty_unemployed	HEX_total_housing_units	HEX_Owner_occupied_housing_units	HEX_Renter_occupied_housing_units	HEX_less_than_bacholar	HEX_estimate_total_for_degree	HEX_White_population	HEX_Black_or_African_American_population	HEX_American_Indian_and_Alaska_Native_population	HEX_Asian_population	HEX_Native_Hawaiian_and_Other_Pacific_Islander_population	HEX_Some_other_race_population	HEX_Mean_travel_time_to_work_minutes	HEX_Foreign_born_population	HEX_Citizen_population	HEX_obrien.IndividualNeeds	HEX_obrien.PublicNeeds	HEX_minkoff.CausedByHumanBehavior	HEX_minkoff.CausedByUsage	HEX_wheeler.Detritus	HEX_wheeler.Infrastructure	HEX_600_coverage_in_HEX	HEX_income_below_poverty_percentage	HEX_renter_occupied_housing_units_percentage	HEX_below_poverty_unemployed_percentage	HEX_above_poverty_unemployed_percentage	HEX_less_than_bacholar_percentage	poverty_index	HEX_Foreign_born_population_percentage	HEX_Citizen_population_percentage	HEX_White_population_percentage	HEX_Black_or_African_American_population_percentage	HEX_American_Indian_and_Alaska_Native_population_percentage	HEX_Some_other_race_population_percentage	user_type	frequency
	8	6222.8199903632	5947.1896143548	15420.9872577279	5392.0231111114	2275.2352884823	86	68	6	0.7247160627	4	2	13.15371685	127	965.5065674	136.0727035	20.60622482	40.05032978	372.1418499	124.1442377	247.9976122	545.4316055	687.1038611	817.2750908	154.7789049	27.39179524	30.92482312	1.289025659	85.28849541	30.6327408794	296.579821	783.0404198	12	96	0	67	5	60	21.87804878	0.040824394	0.3742609706	0.3749258054	0.8013258092	1.2293920867	0.5947378077	0.3071753533	0.811015115	0.8464728448	0.1603084952	0.0283703873	0.0883354897	non_gov	heavy
	9	473.1536904238	366.8727716082	758.4270116027	299.8768308325	127.4862137352	3.6842105263	1.2631578947	1.5263157895	0.3040935673	361	133	54.32989269	477	877.9697076	153.5054571	12.09025282	25.26726994	324.3991431	125.5212765	198.8778666	475.4593805	650.7001237	747.2863007	151.7394652	0	65.61339452	0	35.45568523	34.2	390.6917653	560.3628414	95	297	9	211	45	141	4.825581395	0.4714860676	0.1077659038	-0.2697693927	-0.0779802316	1.0685530583	0.3425022772	0.4449945846	0.6382484914	0.8511527154	0.1728299552	0	0.0403837227	non_gov	heavy
	10	433.3882261215	468.8145683349	1195.4327857269	322.1810769333	92.6422977254	4.5555555556	1.4444444444	1.6296296296	0.3143516419	729	270	61.47898955	373	606.7113378	106.0782627	8.354836619	17.46066979	224.1724702	86.74010153	137.4323687	328.5609906	449.6591843	516.4040027	104.8578933	0	45.34141671	0	24.50126244	34.2	269.9832597	387.2325961	64	270	4	164	47	117	3.123287671	0.4714860688	0.107765905	-0.2697693926	-0.0779802313	1.0685530587	0.3425022786	0.4449945845	0.6382484915	0.8511527155	0.1728299551	0	0.0403837227	non_gov	heavy
	11	246.0203717265	373.5008553155	517.1038571592	424.5084209692	127.0688727368	6	3	2	0.4444444444	4	2	17.0761751	36	210.8200448	36.86007283	2.903138479	6.067233226	77.89544594	30.14044893	47.75499701	114.1683672	156.2475653	179.4400536	36.43601889	0	15.75523467	0	8.513698237	34.2	93.81377827	134.5555756	3	32	3	29	2	13	17.13333333	0.4714860691	0.1077659043	-0.2697693925	-0.0779802313	1.0685530609	0.3425022788	0.4449945846	0.6382484916	0.8511527154	0.1728299552	0	0.0403837227	non_gov	heavy
	13	1503.6690689393	1455.8282404244	3280.6681705451	1545.5256718123	387.7638857427	17.8333333333	13.5	2.8333333333	0.4007860105	36	18	118.6135733	153	128.9902966	6.602219218	1.886348348	2.515131131	59.91401658	33.19074832	26.72326826	28.65452967	103.8389853	117.2230759	7.994523951	0	5.838697268	0	0.538956671	28.2	10.77913342	126.2506002	35	105	3	65	19	53	12.48148148	-1.0991022405	-0.7267713697	-0.1971182197	-0.7204393625	-1.1293269745	-1.3369344238	0.0835654596	0.9787604458	0.9087743729	0.0619777159	0	0.004178273	non_gov	heavy
	14	1666.6404616821	4565.4718761047	6521.1837824334	4464.3414372141	594.1621369158	12	8	2.25	0.4356664234	256	176	101.6243277	396	389.6704747	19.94483279	5.698523655	7.59803154	180.9959656	100.2668805	80.72908511	86.5632879	313.6901593	354.1225414	24.15088597	0	17.6382875	0	1.628149616	28.2	32.56299231	381.3940475	15	305	7	187	62	148	17.64646465	-1.0991022404	-0.7267713692	-0.1971182194	-0.7204393623	-1.1293269742	-1.3369344232	0.0835654596	0.9787604457	0.9087743732	0.0619777159	0	0.004178273	non_gov	heavy
	23	269.6391895199	183.6996003471	528.8320835117	96.0414242571	64.8757049791	3.6176470588	1.2352941176	1.3823529412	0.2782189542	1156	442	46.15457781	469	1016.150558	132.2693778	24.13022434	46.24959664	396.8081335	126.0133938	270.7947398	581.5830921	713.6290419	858.6338159	158.8573102	37.98276053	18.76795226	1.787424025	105.2345895	29.5	267.6667477	879.8594762	82	322	9	229	52	115	5.608108108	-0.0959271204	0.4543296656	0.5796411293	1.0805390275	1.280464616	0.6721951112	0.263412489	0.86587511	0.8449868075	0.1563324538	0.0373790677	0.1035620053	non_gov	heavy
	24	706.1416812771	738.8208564319	1515.2069535505	801.2345554095	149.7565337658	9.3055555556	3.5277777778	2.3333333333	0.3636837608	1296	504	53.32927525	554	1038.829044	155.2364913	20.19928127	39.78399154	396.2495927	137.3189888	258.9306039	580.7658702	746.9638551	880.5593066	169.7939562	22.08377291	44.39414021	1.039236372	79.27788473	31.5270023181	354.9935293	797.514214	58	383	9	223	59	177	5.680851064	0.1487851871	0.3095475371	0.2133098307	0.5808962128	1.1890720146	0.5327180817	0.3417246864	0.7677049642	0.8476460219	0.163447448	0.0212583322	0.0763146595	non_gov	heavy
	25	376.7358727933	2006.9808329733	2392.2036200064	1867.5946312828	115.4273079676	6.2244897959	1.693877551	2.2857142857	0.3925913778	2401	637	93.88399178	936	996.9750778	174.3125233	13.72903944	28.69214985	368.3701819	142.535196	225.8349859	539.9060455	738.899988	848.5780447	172.307158	0	74.50703428	0	40.26156511	34.2	443.6485105	636.3178394	133	688	14	465	93	302	7.40070922	0.4714860687	0.1077659044	-0.269769393	-0.0779802316	1.0685530586	0.342502278	0.4449945845	0.6382484914	0.8511527154	0.1728299552	0	0.0403837227	non_gov	heavy
	26	325.6281833183	2706.9922195568	2899.9555721387	2691.2881248472	156.650532721	6.2	2.8	2.4	0.5044166667	25	15	44.10241107	202	458.0248451	80.08170741	6.307320318	13.18159078	169.2346171	65.48274128	103.7518758	248.0406867	339.4613969	389.8490907	79.16041343	0	34.22961476	0	18.49674835	34.2	203.8185757	292.3336664	20	159	1	133	23	57	11.96666667	0.4714860685	0.1077659039	-0.2697693927	-0.0779802312	1.0685530595	0.3425022779	0.4449945846	0.6382484914	0.8511527156	0.1728299551	0	0.0403837227	non_gov	heavy
